index,title,ingredients,directions
11,chocolate-french-toast-2,"['1 cup milk', '4 eggs', '2/3 cup white sugar', '1/3 cup unsweetened cocoa powder', '1/8 teaspoon baking powder', '1/4 teaspoon salt', '8 slices bread']","Beat together milk, eggs, sugar, cocoa powder, baking powder, and salt. Heat a lightly buttered skillet or griddle over medium heat. Dip each slice of bread into egg mixture until well soaked, about 20 seconds per side. Place in pan, and cook on both sides until they are no longer gooey or shiny in the middle when cut in half, about 3 to 4 minutes per side. "
12,codfish-chowder,"['8 slices bacon, diced', '1 large onion, diced', '1 red bell pepper, seeded and diced', 'salt and ground black pepper to taste', '2 cloves garlic, chopped', '1 1/2 tablespoons seafood seasoning (such as Old Bay\xc2\xae)', '1 (16 ounce) can chicken broth', '3 red potatoes, cut into 1/2-inch cubes', '4 ears sweet corn, shucked and kernels cut off', '1/2 cup water, or as needed to cover', '2 cups whole milk, or more as needed', '2 tablespoons butter', '1 pound thick cod fillets, cut into 1-inch pieces', '2 tablespoons chopped fresh flat-leaf parsley']","Cook bacon in a soup pot over medium heat until crisp and brown, about 10 minutes. Remove bacon with a slotted spoon, leaving drippings in the pot. Cook and stir onion and red bell pepper until softened, about 5 minutes; season with salt and pepper. Stir in garlic and seafood seasoning and cook and stir 2 more minutes. Pour in chicken broth and stir in potatoes and corn; add water if needed to cover vegetables. Bring to a boil and reduce heat to low; simmer until potatoes are tender, about 15 minutes. Stir in milk and butter until butter has melted; mix in reserved bacon. Bring the soup just to the boiling point and stir in cod and parsley; cook, stirring occasionally, until fish flakes easily, 5 to 8 minutes. "
13,coleslaw-with-peas,"['1 (10 ounce) package frozen peas, thawed', '2 cups finely shredded cabbage', '1 green onion, thinly sliced', '1/4 cup sour cream', '1/4 cup mayonnaise', '1 teaspoon prepared mustard', '1 teaspoon white wine vinegar', '1/4 teaspoon salt', '1/4 teaspoon curry powder', '3/4 cup salted peanuts, coarsely chopped']","In a large bowl, mix the peas, cabbage, and green onion. In a separate bowl, mix the sour cream, mayonnaise, mustard, vinegar, salt, and curry powder. Pour the sour cream mixture over the cabbage mixture, and toss to coat. Cover, and refrigerate at least 1 hour, or overnight. Sprinkle with peanuts to serve. "
14,corn-cheese-chowder,"['1/4 cup butter, melted', '1/4 cup chopped onion', '1/4 cup all-purpose flour', '4 cups milk', '2 (15 ounce) cans creamed corn', '1 1/2 cups shredded American cheese', '1 teaspoon salt', '1/4 teaspoon white pepper']","Using a saute pan over medium heat, saute onion in butter until tender. Add flour and stir, it will form a paste like consistency. Add milk and stir until thickened. Add corn, cheese and season with salt and pepper. Heat through, until the cheese melts and then serve hot. "
15,creamy-chicken-and-noodles,"['1 (16 ounce) package egg noodles', '1/4 cup butter', '1/4 cup chopped onion', '1 tablespoon minced garlic', '6 tablespoons all-purpose flour', '1 cup milk', '1 cup half-and-half', '30 ounces chicken broth', '1 (3 pound) rotisserie chicken, bones removed and meat cut into bite-size', 'pieces', '1 cup sour cream', 'salt and ground black pepper to taste']","Bring a large pot of lightly salted water to a boil. Cook egg noodles in the boiling water, stirring occasionally until cooked through but firm to the bite, about 5 minutes. Drain and transfer to a large serving bowl. Melt butter in a large pot over medium heat; cook and stir onion and garlic in the hot butter until onion is translucent, about 5 minutes. Place flour, milk, and half-and-half in a jar with a lid and shake until flour has smoothly mixed with milk and half-and-half. Pour mixture into skillet and whisk until smooth and thick, about 5 minutes. Gradually whisk chicken broth into sauce and bring to a simmer, whisking constantly. Stir cooked chicken and sour cream into sauce, season with salt and black pepper, and mix with cooked noodles to serve. "
16,debdoozies-blue-ribbon-chili,"['2 pounds ground beef', '1/2 onion, chopped', '1 teaspoon ground black pepper', '1/2 teaspoon garlic salt', '2 1/2 cups tomato sauce', '1 (8 ounce) jar salsa', '4 tablespoons chili seasoning mix', '1 (15 ounce) can light red kidney beans', '1 (15 ounce) can dark red kidney beans']","In a large saucepan over medium heat, combine the ground beef and the onion and saute for 10 minutes, or until meat is browned and onion is tender. Drain grease, if desired. Add the ground black pepper, garlic salt, tomato sauce, salsa, chili seasoning mix and kidney beans. Mix well, reduce heat to low and simmer for at least an hour. "
17,easy-salad-olivieh,"['6 large potatoes', '2 cups mayonnaise', '1 stalk celery, diced', '8 hard-cooked eggs, chopped', '1 whole rotisserie roast chicken, pulled and diced', '2 tablespoons mustard', '1/4 cup chopped pitted green olives', '1 tablespoon salt', '3 large dill pickles, chopped']","Place potatoes into a large pot and cover with salted water. Bring to a boil, then reduce heat to medium-low, cover, and simmer until tender enough to pierce with a fork, about 30 minutes. Drain and allow cool, then peel and dice. Place the diced potatoes into a large mixing bowl and refrigerate until cold. Once cold, fold in the mayonnaise, celery, eggs, chicken, mustard, olives, salt, and pickles. Refrigerate 2 hours before serving. "
18,easy-whole-wheat-banana-muffins,"['1 cup mashed bananas', '1 cup creamy salad dressing (such as Miracle Whip\xc2\xae)', '3/4 cup white sugar', '2 cups whole wheat flour', '2 teaspoons baking soda', '1/2 teaspoon salt']","Preheat oven to 350 degrees F (175 degrees C). Mix bananas, salad dressing, and sugar in a large bowl until smooth. Stir flour, baking soda, and salt into banana mixture until batter is just moistened. Divide batter evenly into 24 muffin cups. Bake in the preheated oven until a toothpick inserted into the center comes out clean, about 17 minutes. "
19,home-baked-macaroni--cheese,"['1 (400 g) package KRAFT Deluxe Original Cheddar Pasta Sauce', '1/2 cup KRAFT Mozza-Cheddar Shredded Cheese, divided', '1/2 cup light sour cream', '1/4 teaspoon cayenne pepper', '6 30% Less Fat RITZ Crackers, crushed', '1 tablespoon non-hydrogenated margarine, melted', '2 cups frozen peas, cooked']","Heat oven to 375 degrees (F.). Prepare Dinner as directed on package. Stir in 1/4 cup shredded cheese, sour cream and pepper. Spoon into greased 1-1/2-L baking dish; top with remaining shredded cheese, then combined cracker crumbs and margarine. Bake 20 minutes Let stand 5 minutes before serving. Serve with peas. "
20,homemade-lasagna,"['1 (16 ounce) package lasagna noodles', '1/2 pound ground pork', '1/2 pound lean ground beef', '1 (8 ounce) can tomato sauce', '1 (28 ounce) can crushed tomatoes', '1 tablespoon chopped fresh parsley', '1 clove garlic, crushed', '1/2 teaspoon dried oregano', '1/2 cup minced onion', '1/8 teaspoon white sugar', '1 1/2 teaspoons dried basil', '1 1/2 teaspoons salt', '1 pound small curd cottage cheese', '3 eggs', '3/4 cup grated Parmesan cheese', '2 teaspoons salt', '1/4 teaspoon ground black pepper', '1 pound shredded mozzarella cheese']","Preheat oven to 375 degrees F (190 degrees C). Bring a large pot of lightly salted water to a boil. Add noodles and cook for 8 to 10 minutes or until al dente; drain and set aside. Place pork and beef in a large, deep skillet. Cook over medium high heat until evenly brown. Stir in tomato sauce, crushed tomatoes, parsley, garlic, oregano, onion, sugar, basil and salt. Simmer over medium-low heat for 30 minutes, stirring occasionally. In a large bowl, combine cottage cheese, eggs, Parmesan cheese, parsley, salt and pepper. In a 9x13 inch baking dish, place 2 layers of noodles on the bottom of dish; layer 1/2 of the cheese mixture, 1/2 of the mozzarella cheese and 1/2 of the sauce; repeat layers. Cover with aluminum foil and bake in preheated oven for 30 to 40 minutes. Remove foil and bake for another 5 to 10 minutes; let stand for 10 minutes before cutting; serve. "
21,hot-chicken-salad,"['2 1/2 cups chopped, cooked chicken meat', '2 cups chopped celery', '1/2 cup chopped salted almonds', '1/4 cup chopped green bell pepper', '2 tablespoons minced onion', '2 tablespoons chopped pimento peppers', '3/4 teaspoon salt', '2 tablespoons lemon juice', '1/2 cup mayonnaise', '1/3 cup shredded Swiss cheese', '3 cups crushed potato chips']","Preheat oven to 350 degrees F (175 degrees C). Combine the chicken, celery, almonds, bell pepper, onion, pimento, salt, lemon juice, and mayonnaise. Mix well and pour into a 1 1/2 quart casserole dish. Top with grated cheese and the crushed potato chips. Bake for 25 minutes or until cheese is melted. "
22,jackies-special-meatloaf,"['1 pound ground beef', '2 eggs, beaten', '1 cup panko bread crumbs', '3/4 cup ketchup, divided', '1 tablespoon salt-free seasoning blend', '1 tablespoon garlic powder', '1 tablespoon onion powder', 'salt to taste', 'ground black pepper to taste']","Preheat oven to 350 degrees F (175 degrees C). Lightly grease a baking pan. Place the ground beef, eggs, panko, and 1/2 cup ketchup in a large bowl. Mix by hand, and season with salt-free seasoning blend, garlic powder, onion powder, salt, and pepper. Form into a loaf shape, and place on the prepared baking pan. Drizzle with remaining 1/4 cup ketchup. Bake 1 hour in the preheated oven, to an internal temperature of 160 degrees F (70 degrees C). "
23,lazy-lasagna-ii,"['1 1/2 pounds ground beef', '1 small onion, chopped', '1 (28 ounce) jar spaghetti sauce', '3 pounds frozen cheese ravioli, thawed', '4 cups shredded mozzarella cheese']","Preheat oven to 375 degrees F (190 degrees C). In a skillet over medium heat, brown ground beef with onion; drain grease. Pour in spaghetti sauce and simmer 5 minutes. In a 9x13 inch baking dish, spread enough sauce and beef to cover bottom and put a layer of ravioli down end to end. Spread a layer of sauce and cheese just like you would with regular lasagna. Keep layering and finish with sauce on top. Bake uncovered in a preheated oven for 1 hour. Let sit for 5 minutes before serving. "
24,marlenes-beef-stroganoff,"['cooking spray', '2 pounds beef flank steak, cut into bite-size pieces', '2 green bell peppers, seeded and chopped', ""1 (10.5 ounce) can condensed beef consomme (such as Campbell's \xc2\xae)"", ""1 (10.5 ounce) can condensed French onion soup (such as Campbell's \xc2\xae)"", '1 (8 ounce) package egg noodles', '1 (16 ounce) container sour cream']","Spray a large skillet with cooking spray, and cook the flank steak and green peppers over medium heat until the steak pieces have begun to brown, about 10 minutes. Transfer steak and peppers into a large saucepan, and stir in the beef consomme and French onion soup. Bring to a boil, reduce heat to a simmer, and cover pan. Simmer until the beef is tender, about 1 hour and 20 minutes. Turn off heat. Fill a large pot with lightly salted water and bring to a rolling boil over high heat. Once the water is boiling, stir in the egg noodles, and return to a boil. Cook the pasta uncovered, stirring occasionally, until the pasta has cooked through, but is still firm to the bite, about 5 minutes. Drain well in a colander set in the sink. Stir the sour cream into the meat mixture until thoroughly combined, and serve over the cooked noodles. "
25,moms-carrot-cake,"['6 carrots, quartered', '2 cups all-purpose flour', '2 cups white sugar', '2 teaspoons baking soda', '1/2 teaspoon salt', '3 eggs', '2 teaspoons ground cinnamon', '3/4 cup vegetable oil', '2 teaspoons vanilla extract', '3/4 cup buttermilk', '1 (8 ounce) can crushed pineapple with juice', '1 (3.5 ounce) package flaked coconut', '1 cup chopped walnuts', '1/2 (8 ounce) package cream cheese, softened', '1/4 cup butter', '1 teaspoon vanilla extract', ""2 cups confectioners' sugar""]","In a small saucepan, cover carrots with water. Bring water to a boil and cook until tender, about 15 minutes. Let cool and mash. In a large mixing bowl, beat eggs. Add vegetable oil, buttermilk, 2 cups white sugar and 2 teaspoons vanilla. Add flour, baking soda, ground cinnamon and salt. Mix in pineapple, 2 cups mashed carrots, nuts and coconut. Pour into paper towel-lined 13 x 9 x 2-1/2 inch pan. Bake at 350 degrees F (175 degrees C) for 55 minutes, or until cake tests done. Place cake on a plate, and allow to cool completely before frosting. To Make Frosting: Combine cream cheese, melted butter, 1 teaspoon vanilla extract, and confectioners' sugar. Spread on cooled cake. Cake tastes best after refrigerating overnight. "
26,napa-slaw,"['1/4 cup butter', '1 cup sunflower kernels', '1 (3 ounce) package ramen noodles, broken into pieces', '1 head napa cabbage, chopped', '4 spring onions, diced', '1/2 cup vinegar', '1/2 cup vegetable oil', '2 tablespoons white sugar', '2 tablespoons soy sauce']","Melt butter in a large skillet over medium heat; cook and stir sunflower kernels and ramen noodles in hot butter until sunflower kernels are lightly browned and fragrant, 3 to 5 minutes. Remove from heat and transfer into a bowl to cool. Stir sunflower seeds and ramen noodles with napa cabbage and spring onions in a large salad bowl. Whisk vinegar, vegetable oil, sugar, and soy sauce together in a separate bowl until sugar has dissolved; pour dressing over salad and toss. "
27,olivier-salad,"['5 potatoes, peeled', '3 eggs', '1 (16 ounce) jar dill pickles', '1 (15 ounce) can peas, drained', '3/4 pound cooked chicken breast meat, very finely chopped', '1/2 cup mayonnaise', 'ground black pepper to taste', '1/2 cup mayonnaise', '2 tomatoes, sliced']","Place the potatoes into a large pot and cover with salted water. Bring to a boil over high heat, then reduce heat to medium-low, cover, and simmer until tender, about 20 minutes. Drain and allow to steam dry for a minute or two. Place the potatoes into the refrigerator to cool. When the potatoes are cool, grate them into a large bowl. While the potatoes are boiling, place the eggs into a saucepan in a single layer and fill with water to cover the eggs by 1 inch. Cover the saucepan and bring the water to a boil over high heat. Once the water is boiling, remove from the heat and let the eggs stand in the hot water for 15 minutes. Pour out the hot water, then cool the eggs under cold running water in the sink. Peel once cold. Dice the cooked eggs and dill pickles. Place the eggs and 2/3 of the dill pickles into the salad bowl with the potatoes; reserve the rest of the pickles. Place 3/4 of the peas into the bowl, and reserve the rest. Place the chicken breast meat into the bowl. Add 1/2 cup of mayonnaise and black pepper, and very lightly stir the mixture together so that the ingredients are well coated, but the peas stay whole. Place the salad in an attractive mound on a platter, and spread 1/2 cup of mayonnaise over the salad in a layer. Arrange tomato slices over the salad, and decorate with reserved diced pickle and peas. "
28,pecan-butterscotch-pie,"['1/2 cup packed dark brown sugar', '1/4 cup cornstarch', '1/4 teaspoon salt', '2 cups milk', '1/4 cup light corn syrup', '3 egg yolks, beaten', '3 tablespoons butter', '1 teaspoon vanilla extract', '3/4 cup chopped pecans', '1 (9 inch) pie shell, baked', '3 egg whites', '1/4 teaspoon cream of tartar', '1 pinch salt', '3/8 cup white sugar', '1/4 cup chopped pecans']","In the top of a double boiler, combine brown sugar, cornstarch, and 1/4 teaspoon. salt. Stir in milk and corn syrup. Cook over boiling water, stirring constantly, 20 minutes or until thickened. In a medium bowl, beat egg yolks until thick and lemon colored. Gradually stir 1/2 cup of hot mixture into yolks. Pour back into remaining milk mixture, stirring constantly. Cook 5 minutes over boiling water, stirring frequently. Remove from heat; stir in butter, vanilla and 3/4 cup pecans. Pour into pastry shell. Preheat oven to 350 degrees F (175 degrees C.) Beat egg whites cream of tartar, and pinch of salt until foamy. Gradually add sugar, beating until stiff peaks form. Spread meringue over filling, sealing to edge of pastry. Sprinkle with remaining 1/4 cup pecans. Bake in the preheated oven for 12 minutes, or until golden brown. Cool to room temperature. Chill thoroughly. "
29,ramen-slaw,"['1 (12 ounce) package broccoli coleslaw mix', '1/2 cup sunflower seeds', '1/2 cup slivered almonds', '1 (3 ounce) package Oriental-flavored ramen noodles, broken into small pieces', '1/2 cup canola oil', '1/4 cup white sugar', '1/4 cup white wine vinegar', '4 green onions, chopped']","Combine broccoli coleslaw mix, sunflower seeds, almonds, and ramen noodles together in a bowl. Whisk canola oil, sugar, ramen noodle seasoning packet, and vinegar together in a separate bowl; pour over slaw mixture. Fold in green onions. Chill in refrigerator for 1 1/2 hours before serving. "
30,taco-soup-iv,"['2 pounds ground beef', '1 onion, chopped', '1 (10.75 ounce) can tomato puree', '1 (15 ounce) can tomato sauce', '1 cup water', '1 (15 ounce) can pinto beans, drained and rinsed', '1 (15 ounce) can whole kernel corn, drained', '1 (1.25 ounce) package taco seasoning mix']","In a medium stock pot brown beef and onion, about 10 minutes; drain grease if needed. Add tomatoes, tomato sauce, water, beans, corn and taco seasoning. Bring to boil, reduce heat and simmer for 5 minutes. Top with cheese, corn chips, sour cream and olives. "
31,teriyaki-chicken-salad,"['4 skinless, boneless chicken breast halves', '1 cup orange juice', '1 cup soy sauce', '1 (12 fluid ounce) can or bottle lemon-lime flavored carbonated beverage', '1 lemon, juiced', '3/4 cup vegetable oil', '1 teaspoon salt', '1/2 teaspoon ground black pepper', '4 cloves garlic', '2 heads romaine lettuce', '2 tomatoes, chopped', '1/3 cup mozzarella cheese', '1/4 cup grated Parmesan cheese']","Marinate chicken in the orange juice, soy sauce and lemon-lime carbonated beverage for several hours or overnight. Preheat grill to medium-high heat. Remove chicken from marinade and drain. Place chicken on hot grill and cook for 6 to 8 minutes on each side, or until juices run clear. Remove, cool, and cut into strips. Whisk together the lemon juice, vegetable oil, salt, pepper and garlic cloves. Allow garlic cloves to sit in dressing for a few hours and remove before pouring on the salad. In a salad bowl, combine the lettuce, tomatoes, mozzarella, Parmesan and marinated chicken strips. Pour dressing over salad; toss and serve. "
32,twisted-chicken-salad-with-tostadas,"['vegetable oil for frying', '10 corn tortillas', '1 (10 ounce) can chunk chicken, drained and flaked', '1/2 cup mayonnaise', '2 1/2 tablespoons canned jalapeno pepper slices, undrained', '1 tablespoon pickled jalapeno pepper juice', 'salt and pepper to taste']","Heat oil in a large heavy skillet over medium-high heat. One at a time, slip a tortilla into the hot oil. If the tortilla starts to puff up, press it down with a fork. When crisp and brown, remove to paper towels. Repeat with remaining tortillas. Place the chicken in a bowl, and separate with a fork. Stir in the mayonnaise. Dice the jalapenos (reserving the liquid), and stir them into chicken salad. Pour in 1 tablespoon jalapeno juice, season with salt and pepper, and stir well. To serve, spread the chicken salad on the tostadas. "
33,vegan-carrot-cake,"['2 cups whole wheat flour', '1/4 cup soy flour', '1 1/2 tablespoons ground cinnamon', '1 tablespoon ground cloves', '4 teaspoons baking soda', '2 teaspoons tapioca starch', '1/2 teaspoon salt', '1 1/2 cups hot water', '1/4 cup flax seed meal', '2 cups packed brown sugar', '4 teaspoons vanilla extract', '3/4 cup dried currants', '6 carrots, grated', '1/2 cup blanched slivered almonds']","Preheat oven to 350 degrees F (175 degrees C). Prepare a 9x13 inch baking pan with cooking spray. Whisk together the whole wheat flour, soy flour, cinnamon, ground cloves, baking soda, tapioca starch, and salt in a bowl until blended; set aside. Pour the hot water into a mixing bowl, and sprinkle with the flax meal. Stir for a minute until the flax begins to absorb the water, and the mixture slightly thickens. Stir in the brown sugar and vanilla until the sugar has dissolved, then add the currants, carrots, and almonds. Stir in the dry mixture until just moistened, then pour into the prepared pan. Bake in the preheated oven until a toothpick inserted into the center comes out clean, about 30 minutes. Cool in the pan for 10 minutes before removing to cool completely on a wire rack. "
